Type,Commit SHA,Java File,Old Function Signature,New Function Signature
PARAMETER_REMOVE,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState pseudoState; StateMachine<S; E> submachine),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState)
PARAMETER_REMOVE,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState pseudoState; Collection<Region<S; E>> regions),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState)
METHOD_CHANGE_MODIFIER;PARAMETER_REMOVE,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,private AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState pseudoState; Collection<Region<S; E>> regions; StateMachine<S; E> submachine),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState)
PARAMETER_ADD,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,public AbstractState(S id; PseudoState pseudoState),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState; StateMachine<S; E> submachine)
PARAMETER_ADD,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState pseudoState),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState; StateMachine<S; E> submachine)
PARAMETER_CHANGE,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState pseudoState; StateMachine<S; E> submachine),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState; StateMachine<S; E> submachine)
PARAMETER_CHANGE,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState pseudoState; Collection<Region<S; E>> regions),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState; StateMachine<S; E> submachine)
METHOD_CHANGE_MODIFIER;PARAMETER_REMOVE,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,private AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState pseudoState; Collection<Region<S; E>> regions; StateMachine<S; E> submachine),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState; StateMachine<S; E> submachine)
PARAMETER_ADD,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,public AbstractState(S id; PseudoState pseudoState),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState; Collection<Region<S; E>> regions)
PARAMETER_ADD,b45f5ef988f9361199412b5c705abf36c5178bb8,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState pseudoState),public AbstractState(S id; Collection<E> deferred; Collection<? extends Action<S; E>> entryActions; Collection<? extends Action<S; E>> exitActions; PseudoState<S; E> pseudoState; Collection<Region<S; E>> regions)
